company_name_th,company_name_en,registration_number,business_type,status,registration_date,registered_capital,address
ห้างหุ้นส่วนจำกัด เกษตรแปลงใหญ่ผักผลไม้เมืองสระแก้ว,KASET PLAENG YAI PHAKPHOLLAMAI MUEANG SA KEAO LIMITED PARTNERSHIP,273564000672,"ประกอบกิจการปลูกผัก ปลูกผลไม้
หมวดธุรกิจ : การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น",ยังดำเนินกิจการอยู่,22 เมษายน 2564,"1,000,000 บาท",3 หมู่ที่ 3 ตำบลสระขวัญ อำเภอเมืองสระแก้ว จ.สระแก้ว 27000
ห้างหุ้นส่วนจำกัด เกษตรอินทรีย์แปลงใหญ่ ผักพันเสา พิษณุโลก,ORGANIC FARMING PLAENGYAI PHAKPHANSAO PHITSANULOK LIMITED PARTNERSHIP,653564000709,"ขายพืชผลการเกษตร
หมวดธุรกิจ : การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น",ยังดำเนินกิจการอยู่,11 กุมภาพันธ์ 2564,"1,000,000 บาท",99 หมู่ที่ 11 ตำบลพันเสา อำเภอบางระกำ จ.พิษณุโลก 65140
บริษัท เคเคเอ็ม อินเตอร์ บิวท์ แอนด์ เทรดดิ้ง จำกัด,"KKM INTER BUILT & TRADING CO., LTD.",305564004482,"ประกอบกิจการทำเกษตร ปลูก ส่งเสริม รับซื้อ ขายออก วิจัยและพัฒนา
แปรรูปผลิตภัณฑ์สินค้าทางการเกษตร
หมวดธุรกิจ : การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น",ยังดำเนินกิจการอยู่,8 มิถุนายน 2564,"1,000,000 บาท",136 หมู่ที่ 3 ตำบลตูม อำเภอปักธงชัย จ.นครราชสีมา 30150
,,,,,,,
บริษัท ไทยมิตร ผลิตภัณฑ์ดรายไอซ์ จำกัด,"THAI MITRDARY ICE PRODUCTS CO., LTD.",105514005240,"จำหน่ายน้ำแข็งแห้ง
หมวดธุรกิจ : การผลิตก๊าซที่ใช้ในงานอุตสาหกรรม",ยังดำเนินกิจการอยู่,2 กันยายน 2514,"8,000,000 บาท","1 ซอยสรงประภา 1 แยก 2(สุวรรณี 1) ถนนสรงประภา แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร
10210"